Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Aino,https://tierlist-plus.netlify.app/headshots/Aino.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albedo,https://tierlist-plus.netlify.app/headshots/Albedo.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhaitham,https://tierlist-plus.netlify.app/headshots/Alhaitham.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,7,7,7,7,8,8,8,8,11,11,11,11,10,11,12,12,17,17,17,18,19,19,19,19,19,20,23
Aloy,https://tierlist-plus.netlify.app/headshots/Aloy.png,Cryo,,,,,,,,,,,,,,,,,11,11,11,11,11,24,26,26,26,26,27,27,27,28,29,29,30,30,32,33,34,34,35,35,36,36,37,37,37,39,39,39,39,39,40,39,38,39,39,39,39,39,40,40,39,39,34,34,36,36,36,36,37,38,38,38,39,39,40,40,42,42,43,43,44,44,45,45,45,45,43,44,45,45,46,46,46,47,48,48,48,48,48,49,50
Amber,https://tierlist-plus.netlify.app/headshots/Amber.png,Pyro,,,,,,,,16,16,17,18,19,19,,21,23,25,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arlecchino,https://tierlist-plus.netlify.app/headshots/Arlecchino.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,7,7,8,8,8,9,7,7,7,7,9,9,10
Ayaka,https://tierlist-plus.netlify.app/headshots/Ayaka.png,Cryo,,,,,,,,,,,,,,,5,1,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,4,7,7,7,7,7,7,10,10,10,10,10,10,11,12,12,12,13,13,16,16,16,16,17,17,16,16,14,14,14,14,12,13,14,14,18,18,18,19,20,20,20,20,20,21,24
Ayato,https://tierlist-plus.netlify.app/headshots/Ayato.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,8,8,9,9,9,9,14,14,15,15,15,15,16,17,17,17,18,18,19,19,19,19,20,20,20,20,21,21,21,21,21,22,23,23,29,29,29,30,31,31,31,31,31,32,34
Baizhu,https://tierlist-plus.netlify.app/headshots/Baizhu.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,30,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara,https://tierlist-plus.netlify.app/headshots/Barbara.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,28,29,30,30,31,31,32,32,33,33,33,35,35,35,35,35,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou,https://tierlist-plus.netlify.app/headshots/Beidou.png,Electro,,,9,9,11,14,11,12,12,13,14,14,14,15,15,16,18,18,18,18,18,21,22,22,22,22,23,23,23,25,26,26,27,27,29,30,31,31,32,32,33,33,34,34,34,36,36,36,36,36,37,36,36,37,37,37,37,37,38,38,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bennett,https://tierlist-plus.netlify.app/headshots/Bennett.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candace,https://tierlist-plus.netlify.app/headshots/Candace.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,25,26,26,27,27,28,28,29,29,29,31,31,31,31,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,https://tierlist-plus.netlify.app/headshots/Charlotte.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chasca,https://tierlist-plus.netlify.app/headshots/Chasca.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,10,10,10,10,11,11,11,11,8,8,8,8,8,9,10,10,9,9,9,10,11,11,11,11,14,15,16
Chevreuse,https://tierlist-plus.netlify.app/headshots/Chevreuse.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiori,https://tierlist-plus.netlify.app/headshots/Chiori.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
